NOMBRE | PRECIO | PLATAFORMA | GENEROS | ENLACE | IMAGEN | FECHA DE LANZAMIENTO
World of Tanks - Starter Edition (Xbox 360) Xbox Live Key GLOBAL|1.58|Xbox One|['Accion', 'Estrategia', 'FPS / TPS']|https://www.eneba.com/es/xbox-world-of-tanks-starter-edition-xbox-360-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/gDXE0C33mEBKeLoatZNtw1VhL4ykfai7ogakgLT3cnE_390x400_1x-0.jpeg|12-02-2014
Borderlands 3 (Xbox One) Xbox Live Key GLOBAL|38.82|Xbox One|['Accion', 'FPS / TPS', 'Aventuras', 'RPG']|https://www.eneba.com/es/xbox-borderlands-3-xbox-one-xbox-live-key-global-1|https://cdn-products.eneba.com/resized-products/br6yvTI9xTm81z4NwfEdfnFkM1m_BVD6jMkLJDoUEpM_390x400_1x-0.jpeg|13-09-2019
Halo Wars 2 (Ultimate Edition) (PC/Xbox One) Xbox Live Key GLOBAL|17.85|Xbox One|['Estrategia']|https://www.eneba.com/es/xbox-halo-wars-2-ultimate-edition-pc-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/3Oag-Bafo5iMqaK2u4PqwYdDlxb3pyH8tXHO9Q9cIhc_390x400_1x-0.jpeg|21-02-2017
The Crew (Xbox One) Xbox Live Key GLOBAL|5.39|Xbox One|['Carreras', 'Aventuras']|https://www.eneba.com/es/xbox-the-crew-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/vCW6ONkYoi3EN76wpDHyv2XO3mkuy-YTYxc7X8SrW3M_390x400_1x-0.jpeg|2-12-2014
Battlefield 1 (Xbox One) Xbox Live Key GLOBAL|6.10|Xbox One|['FPS / TPS']|https://www.eneba.com/es/xbox-battlefield-1-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/l_YqxZlDy5IBdt0zFZONYVDMC3pa7QxhvkKfijE9468_390x400_1x-0.jpeg|21-10-2016
Gears of War 4 (PC/Xbox One) Xbox Live Key EUROPE|4.00|Xbox One|['Accion', 'FPS / TPS']|https://www.eneba.com/es/xbox-gears-of-war-4-pc-xbox-one-xbox-live-key-europe|https://cdn-products.eneba.com/resized-products/xDJKEKSRa1mClshQZlmEzNWwtXKG_h3HyCys9gPNRy8_390x400_1x-0.jpeg|11-10-2016
Battlefield 5 (Xbox One) Xbox Live Key GLOBAL|22.99|Xbox One|['Accion']|https://www.eneba.com/es/xbox-battlefield-5-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/j6kKvnoid3om5xZSNlCOVkaUpkQKnZc5vDUpdvFx-iM_390x400_1x-0.jpeg|20-11-2018
Halo Wars 2 (PC/Xbox One) Xbox Live Key GLOBAL|12.34|Xbox One|['Estrategia']|https://www.eneba.com/es/xbox-halo-wars-2-pc-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/0IkYJB4DNuRuH3-BsAxEk65nv_P4P9LR2NXynfu0YyQ_390x400_1x-0.jpeg|21-02-2017
Tom Clancy's Ghost Recon: Breakpoint (Gold Edition) (Xbox One) Xbox Live Key GLOBAL|36.99|Xbox One|['Accion', 'FPS / TPS']|https://www.eneba.com/es/xbox-tom-clancys-ghost-recon-breakpoint-gold-edition-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/a0tGOMgOJ1hvcD1I0xWLbL1BpmGIcksmh51McQEhGVw_390x400_1x-0.jpeg|3-10-2019
Metro Last Light Redux (Xbox One) Xbox Live Key GLOBAL|4.89|Xbox One|['Accion']|https://www.eneba.com/es/xbox-metro-last-light-redux-xbox-one-xbox-live-key-global|https://cdn-products.eneba.com/resized-products/nzujGiWHNuMhu5hhiJU_2bWtpzIreYdwwcK0N5Vh--g_390x400_1x-0.jpeg|28-08-2014
